comment,count
KCR డైరెక్ట్ గా ప్రణబ్ ముఖర్జీ కాళ్లు మొక్కీ నప్పుడు ఏమైoది,1
Ayyo..alluthu.... Naan chinna vayasula epdi yosuchano adha apdiye patha maari irukku,1
Bigiil mokka padam .. kaithii awesome,1
அடங்க மறு கும்பலை அறுக்க வருகிறாள் திரௌபதி.....,1
ori shankari neku party salary istundi kani maaku jobs istaledu raa,1
amarica andatho madam perigi kotukuntundi urikine,1
Mahanu baava ela kannavayya ee Basmasurani,1
అబ్బ అబ్బ ఎం యాక్టింగ్ సూపర్ సినిమా లో నటిస్తే ఆస్కార్ గ్యారంటీ,1
It looks to me like the hindi movie Andhadhun..,1
Sema Mass ....POLI...... SURIYAVAUM ANTIINDIAN akitanga PA...,1
ilanti celebritylu ilah shosh kuu ravali sir,1
ee madhya meeredo ascar avaardu sinimaalu padutunnattu cheptunnarenti edho ataniki nacchi pattadu adhi janaalaku nachatledu marrow sinimaatho mundu vastaadu athani daggariki velli dhairyam cheppalsindi public loo tidatarenti saar,1
Podu thagida Petta Paraak Kola Gaandla irukan,1
ఆంధ్రప్రదేశ్ ఇసుక మాఫియా డాన్ జగ్గు భాయ్.,1
Mangala grahake hogovrige a ashwathama eddhidhre antha gotthidhre avnanne kurskondu mahabharatha kathene poorthi aagi barskotha edhru aste yake mahabharatha nadedhitthanthe anno badhalu mahabaratha naddhidhu sathyane antha proof kuda madtha edhralwa,1
Kabja kannada samrajya nucchu noor madtade,1
Therke Devendrar vadake vanniyan iru samugathukum mannum ponnum onnu..yevan kai vachalum vettuthaan..,1
ಚಳಿಗಾಲದಲ್ಲಿ ಹೆಂಡ್ತೀನ ಬಿಟ್ಟಂಗಾಗಿದೆ Tik tokers ಸ್ಥಿತಿ Like a ಹೀಟ್ ಗೆ ಬಂದಿರೋ ನಾಯಿ ತರ,1
manaketa anil pundainga en da dislike pannaringa un kjuy padam varuthula sethinga daw,1
Saho trailer 20 hrs le took more views. Nerkonda paarvai nakkitu poirchu.,1
இது சராசரி படம் அல்ல. ஒற்றைச் சாதியை மட்டுமே அப்பாவிகளாக உயர்த்திக் காட்டி பிற சாதிகளை இழிவுபடுத்திய நாய்களுக்கு () இது ஒரு பாடமாக இருக்கும். அந்த நாய்கள் என்னென்ன திருட்டுத்தனங்களைச் செய்கின்றன என்ற உண்மையைக் காட்சிப்படுத்திய அண்ணன் மோகனுக்கு நெஞ்சார்ந்த நன்றிகள். இந்த படத்திற்கு அமோக வரவேற்பை வழங்கி வெற்றிபெற வைப்பது நம் கடமை . திரௌபதி தீயவர்களைத் தீயாய் சுடுவாள்.,1
"thalaivaaaaaaaa thalaivaaaaaaaa... thalaivaaaaaaaa.. thalaivaaaaaaaa... Super surya anna... who r keeping negative comments vijay nd ajith fans suck ur vijay, ajith dick... jai super star thalaiva surya anna from andhra fans... I can't control my tears .... surya Anna we love... jai thalaiva frm andhra fans",1
vedhalam teaser ah compare panrapa idhu elam pakame vara mudiyadhu...worst bhairava teaser,1
telugu rashtraalaki manchi manchi nayakulu dorikaaru sinimaalu vellanavasaram ledhu valle cinema chuupistaaru manchi kaalakshepam,1
Bro vaadi height entha bro.... sampu kante comedy ga vunadu ...,1
