comment_id,verdict,corrected_category,reason,_cat,_text,_m_vulgar,_m_miso,_m_threat,_m_sexual
C000001,Wrong,Safe,"mild/neutral comment, no insult",Offensive,"Saavuradha irundhalum sanda potu saavanum, Bayandhu saaga Koodadhu Apt for Diwali Release scenario",,,,
C000003,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Gangadhar Adi nuchnnamallaya,,,,
C000008,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Enna pa vijay sethupathi ah kami ya katiteengha,,,,
C000011,Wrong,Sexual Harassment,sexualized comment about a person,Hate Speech,Pilla puk comedy,\bpuk\b,,,pilla puk
C000015,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Ulachu munneraama poannu vachu munnera thudikkum fraud naaigalukku seruppadi..love mayiru nu ..padichu munneranum..ulachu munneranum..,\bseruppadi,,,
C000017,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Hanged up in 495k views,,,,
C000020,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Thalaivara bangama kalaichitinga da pavingale ithu 96 yara emathiringaa Ultimate 🤣🤣,,,,
C000024,Wrong,Safe,"mild/neutral comment, no insult",Offensive,திருமா எப்ப சொன்னார் பணக்கார வீட்டுப் பெண்களை திருமணம் செய்தால் கெத்தா இருப்போம்னு கொளுத்தி விடு சாதி கலவரத்தை மோகன் உனக்கு வருமானம் இங்கு அப்பாவி மக்கள் அடித்து கோண்டு சாகுனும் நீ நல்லா இருப்ப.,,,,
C000028,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Yov pande nee enaya panra inga,,,,
C000040,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ఘడ్డగా మరీ మనావర్ గానికి కూడా చెప్పు హిందూ దేవుళ్ళ పైన జోకులు చేయొద్దని మరి వాని షో కు పర్మిషన్ ఇవ్వకుంటే ఇవన్నీ కాకుండె కదా,,,,
C000042,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,master garu idhi interview lae ledhu interrogation lae undhi super,,,,
C000044,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Dei ithu keka beka keka beka short film copy,,,,
C000048,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Moham lo choodu enta kala uttipadutundo,,,,
C000062,Wrong,Safe,"mild/neutral comment, no insult",Offensive,oh phone volume kamiya Dan irka ...,,,,
C000065,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,aa white dress loo chustunte vijayawada peddapuli vangaveeti mohan rangaa nu chusinattundi anna,,,,
C000069,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,சூத்துல மிளகாய் அரைச்சு பூசுன மாதிரி தெருமா கூப்புக்கு இருக்கும் போல🤣,,,,
C000073,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,రాజసం అంటే అలా ఉండాలి,,,,
C000074,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,"திருமாவளவன்,, ரஞ்சித்,,, வெற்றிமாறன்,,, தேவுடியா பசங்களுக்கு,,,, இந்த படம் செருப்புலே அடிச்ச மாதிரி இருக்கும்",தேவுடிய,,,
C000078,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,kodalu pilla maa koduku nee pelli chesukuntava katnam aem voddu meme ishtamu kavalante,,,,
C000081,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Evaru erripapalu avutaru 2024 lo choodam lee,\berri,,,
C000088,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Hollywood padathai paarthu kollywood pottukkitta soodu ithu,,,,
C000091,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Dai ippolam short flimla irundu kathaye attaya poda arambichitingala,,,,
C000093,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"Telangana lo bjp vastene...ee trs aarachakaalu tagguthai, police la ni venta pettukoni motham Telangana ni nashanam chestunnaru",,,,
C000094,Wrong,Safe,"mild/neutral comment, no insult",Offensive,unmaya sonna silaruku kovam varudhu. Unmaigal kasakathaan seiyum pazhamozhi summava vechan,,,,
C000096,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,nouledge is divine aakali tho poeyina parledu butt aatmagouravam pokudadu vaav nice coats,,,,
C000099,Correct,,vulgar/rude insult present,Offensive,intha naai Ku vera vela Ila thooooo oodi po naaya,\bnaa+i\b,,,
C000101,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Thalaya alikanumnu silaroda mandhiram vazlu vazla Vidu Avaroda mandhiram,,,,
C000103,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Dii pounda Padam itha sunni Padam enga area la oda vadm mattam,\bsunni\b,,,
C000111,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Nija 100% but aswastama antta heg kandiditare..,,,,
C000113,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Hmkum..... story seems to be ok....padam epdi irukkumo,,,,
C000123,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Yarrrrrrrra emmmmmmathuringa ithu 96 semmmmmaaaaaa LA,,,,
C000126,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,aandhraku pawan saar kannadaki puneet saar,,,,
C000135,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Chala worst ga undi,,,,
C000136,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Yogi babu hair style nalla illa,,,,
C000138,Correct,,vulgar/rude insult present,Offensive,Super star rajinkanth mass Ne Oru loose,\bloose\b,,,
C000143,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Nija heludre heege,,,,
C000144,Wrong,Safe,"mild/neutral comment, no insult",Offensive,S sikkilla bro,,,,
C000148,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,asla kl rahul peddha bogh na koduku adatham radhu em radhu,,,,
C000151,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Sudu kattukkulla poravan pogum pothey ponama thaan povan......,,,,
C000154,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Jayalalitha ku padam edukranu solitu sasikala ku eduthu vechruka,,,,
C000160,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,sunil anna vunte sandade vaeru movie anta chaalaa funn gaa vuntundi,,,,
C000163,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ரஜினியிடம் மன்னிப்பு கேட்கும் நிலை கண்டிப்பாக வரும்,,,,
C000166,Correct,,vulgar/rude insult present,Offensive,Yavalo bindu Gowda avulu Thu.......... Nan Ke................,\bthu+\b,,,
C000167,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,meeru devudu saar,,,,
C000172,Correct,,vulgar/rude insult present,Offensive,இனி ஒவ்வொரு பெண்ணும் வீரமங்கை வேலுநாச்சியாராக இருக்க வேண்டும்... கணவனை காதலியுங்கள் கண்ட கண்ட பன்றிகளை பார்த்தவுடன் ஒதுங்கி விடுங்கள்.,பன்றி,,,
C000180,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Durapathi nu sollathinga nary vithaanu vai nallarukum va athaum papom unga jathi thimera kattu Enga attatha ne pape potta pasanga,,,,
C000181,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,okka chiruta puli kosam entha mandi chudandi,,,,
C000182,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,So called ದೊಡ್ಡ ದೊಡ್ಡ ಸ್ಟಾರ್ ನಟರು ಇಂತಹ ಚಿತ್ರಗಳ ಬಗ್ಗೆನೂ ಸ್ವಲ್ಪ ಗಮನ ಕೊಟ್ರೆ ಕನ್ನಡ ಚಿತ್ರೋದ್ಯಮ ಒಳ್ಳೆಯ ಎತ್ತರಕ್ಕೆ ಬೆಳೆಯುತ್ತೆ,,,,
C000186,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,harsha anna nee kalavali okkasaraina,,,,
C000191,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,mea maatalu agnijwaalalu dhanyavaadamulu,,,,
C000195,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Idhu padam da ommla enna padam da i saw 2 shows back to back vera level,,,,
C000199,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Medhi kaasu iruntha kudunga naa... Ithuve medhi kaasu dhaan da🤣🤣🤣🤣 lolzzz,,,,
C000200,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ragu mallanna nae lokam annatlu chestunnav zara vaerae cheppu,,,,
C000202,Wrong,Safe,"mild/neutral comment, no insult",Offensive,1 m like Kuda illa Ivana poi Thalapathy Ku compete panriengala,,,,
C000203,Wrong,Safe,"mild/neutral comment, no insult",Offensive,g v neenga nadikirathuku pathila music potrukalam meratitaru,,,,
C000204,Wrong,Safe,"mild/neutral comment, no insult",Offensive,குருமா வளவன் பின்னாடி இப்ப கபகபனு எரியுமே,,,,
C000210,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,தர்மபுரி kalavara boomi vanniyar kula sathriyan,,,,
C000212,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,saavunga da vijay haters eppavum mass thalapathy matum than,,,,
C000214,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"Oru hero Oru heroin naley neraiya peruku kathai puriyaathu, ithula 5 6 per suthamm !!!",,,,
C000215,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Very avg.... CM Kangana looks like a Japanese robot,,,,
C000216,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ஏன்டா ஜெயலலிதான்னு சொல்லி சசிகலாவ காட்டுறீங்க.. ஒருவேல சின்னம்மா கட்சியா இரூப்பானோ,,,,
C000217,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,aavida kashtaalaki like kaadu aame manobalaanni kii like,,,,
C000224,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ungala Mathiri Saathi veri directors...... vetrimaran..ranjith...mari selvarasu...mohan g ...neenga than intha nattin sapaketu .....ungala nenaicha padam pakratha maranthitunum pola pongata neengalum unga saathiyum,,,,
C000238,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,baagaa kashtapaddav brow edit kii good keep it up,,,,
C000241,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Ena da ipudi padam yeduthu vachurukinga.............. Sekiram release panni tholainga romba wait panna porumai ilaaaaa,,,,
