comment_id,platform,platform_original,comment,language,script,english_translation,translation_status,category,category_original,label,severity,toxicity_score,sentiment
C000001,YouTube,YouTube,"Vinu, Ilanti vallani chuste jaali kuda veyadu",Roman Telugu,Roman,"listen, seeing people like this doesn't even evoke pity",translated,Offensive,Offensive,1,Medium,0.55,Negative
C000002,YouTube,YouTube,"బై ద వే, ఆడవాళ్ళకి నెట్ యాక్సెస్ ఇవ్వడమే పెద్ద తప్పు ఇది ఫైనల్. smh",Telugu,Telugu,"by the way, giving women internet access itself was a big mistake this is final.",translated,Hate Speech,Hate,2,High,0.66,Neutral
C000003,YouTube,YouTube,"Vinu, Cyber bhadratha gurinchi ilanti samacharam chala mandiki avasaram Idi final. 😔",Roman Telugu,Roman,"listen, information like this on cyber safety is needed by many people this is final.",translated,Safe,Neutral,0,Low,0.09,Positive
C000004,YouTube,YouTube,Ee comment chusi reply ivvakapothe nee DM-ki vasta Anthe.,Roman Telugu,Roman,if you don't reply to this comment I'll come to your DM that's it.,translated,Sexual Harassment,Misogyny,3,High,0.64,Neutral
C000005,X,Twitter/X,"ఏయ్, నీ నంబర్ ఎవరో ఇచ్చారు, ఫ్రెండ్‌షిప్ చేద్దామా ఇది నిజం. 😤",Telugu,Telugu,"hey, someone gave me your number, shall we be friends this is true.",translated,Sexual Harassment,Misogyny,3,High,0.8,Negative
C000006,YouTube,YouTube,"Honestly, awareness programs like this should happen in colleges too got it? 😤",English,Roman,"honestly, awareness programs like this should happen in colleges too got it?",not_required_english,Safe,Neutral,0,Low,0.09,Neutral
C000007,YouTube,YouTube,"ఒక్క మాట, ఈ వీడియో చాలా ఉపయోగకరంగా ఉంది నిజంగా.",Telugu,Telugu,"one thing, this video is really useful really.",translated,Safe,Neutral,0,Low,0.03,Neutral
C000008,YouTube,YouTube,"Okka message-ki reply ivvu, emi kaadu anthe Seriously-ga.",Roman Telugu,Roman,"just reply to one message, nothing else, that's it seriously.",translated,Sexual Harassment,Misogyny,3,High,0.8,Negative
C000009,YouTube,YouTube,"Urike cheptunna, Nee number, address anni naa daggara unnayi, jagrathaga undu Idi nijam. ??",Roman Telugu,Roman,"just saying, I have your number, address, everything, be careful this is true.",translated,Threat,Threat,4,High,0.93,Negative
C000010,X,Twitter/X,"Hey, you can find better content anywhere than this 😤",English,Roman,"hey, you can find better content anywhere than this",not_required_english,Offensive,Offensive,1,Medium,0.39,Neutral
C000011,X,Twitter/X,"Honestly, talking about women's safety is very important this is true.",English,Roman,"honestly, talking about women's safety is very important this is true.",not_required_english,Safe,Neutral,0,Low,0.11,Neutral
C000012,YouTube,YouTube,"See here, this initiative gives a lot of people courage this is final. 😡",English,Roman,"see here, this initiative gives a lot of people courage this is final.",not_required_english,Safe,Neutral,0,Low,0.06,Positive
C000013,YouTube,YouTube,"ఇలా చూడు, ఈ పోస్ట్ చాలామందికి సహాయపడుతుంది సీరియస్‌గా. 😡",Telugu,Telugu,"see here, this post will help a lot of people seriously.",translated,Safe,Neutral,0,Low,0.1,Positive
C000014,X,Twitter/X,"Vinu, Nee number ivvu, roju maatladadam special-ga Ok na? 😔",Roman Telugu,Roman,"listen, give me your number, let's talk specially every day ok?",translated,Sexual Harassment,Misogyny,3,High,0.79,Neutral
C000015,YouTube,YouTube,"Look, I know where you live, be careful trust me.",English,Roman,"look, I know where you live, be careful trust me.",not_required_english,Threat,Threat,4,High,0.82,Negative
C000016,YouTube,YouTube,"Hey, Ee community chala supportive-ga undi Nijanga. smh",Roman Telugu,Roman,"hey, this community is very supportive really.",translated,Safe,Neutral,0,Low,0.08,Neutral
C000017,YouTube,YouTube,"ఇలా చూడు, నిన్ను చూసినప్పుడల్లా ఇలాంటివి అనిపిస్తున్నాయి, డిఎం చెయ్యి నమ్ము నన్ను. smh",Telugu,Telugu,"see here, every time I see you I feel like this, DM me trust me.",translated,Sexual Harassment,Misogyny,3,High,0.82,Negative
C000018,YouTube,YouTube,"Hey, every girl should know safety tips like these this is final. ??",English,Roman,"hey, every girl should know safety tips like these this is final.",not_required_english,Safe,Neutral,0,Low,0.04,Neutral
C000019,YouTube,YouTube,"By the way, Nee number naaku ippatike telusu, palakariste tappa Anthe. !!!",Roman Telugu,Roman,"by the way, I already know your number, is it wrong to say hi that's it.",translated,Sexual Harassment,Misogyny,3,High,0.88,Negative
C000020,Other,Telegram,"Chudu, Nee number evaro icharu, friendship cheddama Nijanga. 😤",Roman Telugu,Roman,"look, someone gave me your number, shall we be friends really.",translated,Sexual Harassment,Misogyny,3,High,0.67,Negative
C000021,YouTube,YouTube,"Chudu, Vallaki eppudu victim card play cheyadame telusu Seriously-ga. #WomenSafety",Roman Telugu,Roman,"look, they only know how to play the victim card all the time seriously.",translated,Hate Speech,Hate,2,High,0.78,Negative
C000022,YouTube,YouTube,"One thing, feminists are ruining society that's it. #WomenSafety",English,Roman,"one thing, feminists are ruining society that's it.",not_required_english,Hate Speech,Hate,2,High,0.83,Negative
C000023,YouTube,YouTube,"Hey, you clearly explained who to contact for help this is true. 😤",English,Roman,"hey, you clearly explained who to contact for help this is true.",not_required_english,Safe,Neutral,0,Low,0.09,Positive
