comment_id,verdict,corrected_category,reason
C038284,Wrong,Offensive,"mocking remark about skin lotion, not hate speech"
C038286,Wrong,Offensive,"sarcastic political jab, not hate speech"
C038288,Wrong,Safe,"music comment, no hate/offense"
C038289,Wrong,Safe,comment about movie score similarity
C038292,Wrong,Safe,praise for actor despite insults faced
C038294,Wrong,Threat,"personal curse/threat, not group hate"
C038312,Wrong,Safe,"movie graphics critique, no hate"
C038316,Wrong,Safe,mild criticism of a judging decision
C038322,Wrong,Safe,political praise comment
C038325,Wrong,Safe,neutral political observation
C038327,Correct,,vulgar slur targeting outsider group
C038336,Correct,,"vulgar insult, correctly offensive"
C038338,Correct,,vulgar sexual insult
C038339,Wrong,Safe,"generic hyperbolic statement, not offensive"
C038344,Wrong,Safe,praise for actor family
C038346,Wrong,Safe,song promotion comment
C038355,Wrong,Safe,"gossip about elopement, no hate/insult"
C038356,Correct,,"mocking rival fans, rude tone"
C038385,Wrong,Safe,political/movie commentary about actor
C038388,Wrong,Safe,"fan rivalry comment, no insult"
C038395,Correct,,vulgar insult targeting regional group
C038400,Wrong,Offensive,"personal insult, not group hate speech"
C038401,Wrong,Safe,movie opinion comment
C038406,Wrong,Safe,positive wish for movie success
C038408,Correct,,vulgar personal insult
C038414,Correct,,communal grievance targeting religious group
C038417,Correct,,explicit communal generalization about Muslims
C038426,Wrong,Offensive,"personal insult, not group hate"
C038434,Wrong,Safe,fan banter comment
C038441,Correct,,explicit caste-based hate against Brahmins
C038442,Wrong,Safe,political encouragement comment
C038444,Wrong,Safe,movie dialogue comparison
C038445,Wrong,Safe,movie comparison comment
C038454,Wrong,Safe,praise for actor's comedy
C038460,Wrong,Safe,movie/song comment
C038463,Wrong,Safe,praise for honesty and activism
C038467,Wrong,Safe,ambiguous but appears neutral/positive
C038477,Wrong,Safe,regional pride/political support comment
C038481,Correct,,insult with censored slur
C038483,Wrong,Offensive,"vulgar personal insult of politician, not group hate"
C038487,Wrong,Safe,movie critique using slang
C038488,Wrong,Offensive,sarcastic bribery accusation
C038494,Correct,,vulgar personal insult
C038496,Wrong,Safe,fan praise comment
C038499,Correct,,vulgar caste-based hate insult
C038507,Wrong,Safe,movie opinion comment
C038508,Correct,,communal/caste accusation
C038511,Wrong,Offensive,"vague dismissive remark, no explicit group"
C038513,Wrong,Offensive,"regional generalization, mild hyperbole"
C038516,Wrong,Safe,benign health advice comment
C038517,Wrong,Safe,disappointment about movie viewership
C038522,Wrong,Safe,casual neutral comment
C038525,Wrong,Safe,respectful praise comment
C038526,Wrong,Safe,fan hype comment
C038528,Wrong,Safe,political comparison comment
C038533,Correct,,hostile threatening tone kept as offensive
C038536,Wrong,Safe,political/movie release commentary
C038537,Wrong,Safe,sympathetic comment about COVID impact
C038541,Wrong,Safe,"rhetorical political criticism, no hate"
C038553,Wrong,Safe,comment about song rhyme
C038555,Wrong,Offensive,"vulgar personal insult, not generalization"
C038556,Wrong,Safe,mundane comment about savings
