comment_id	language	category	comment
C021910	Roman Telugu	Hate Speech	anna envy thopu neki saati evaru laeru
C021916	Telugu	Hate Speech	ఆమె ధైర్యానికి సమర్ధతకు సెల్యూట్ కాఫీడే సంస్థ ఛైర్ పర్సన్
C021924	Roman Telugu	Hate Speech	Nattu ga , neku manishiki undalsina lakshanam okkati kooda ledhu kadha ra.
C021925	Telugu	Hate Speech	కేసీఆర్ కేబినెట్లో మీటింగ్ లేదు బొచ్చు లేదు
C021929	Tanglish	Offensive	Aduththavan compose panna music use panrathu aanmai illatha ye kurikkum
C021931	Tanglish	Offensive	Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga
C021935	Tanglish	Hate Speech	WTF views kum likes samanthame ilaye ya..
C021936	Telugu	Hate Speech	నాని అన్న నువ్వు పొరపటున గాని NTR అన్న ని ఏమైన అన్నవో నీ life ఖాతం జాగ్రత
C021939	Kanglish	Hate Speech	Maneli appa amma na chennagi nodkondilla andru tirke shoki beku ivarigella bro
C021941	Tanglish	Offensive	Thalai ku thalai poora Neraiya Neraiya Neraiya romdha Neraiya neracha mudi irruku
C021952	Roman Telugu	Hate Speech	dammu unna raaju maa rajanna
C021954	Tanglish	Offensive	Tha nega like podulana kuda dislike enna ithukku da poduringa
C021955	Telugu	Hate Speech	ఈ దునియలో సిగ్గులేని ముఖ్యమంత్రి మీరే సర్ కెసిఆర్ గారు
C021956	Telugu	Hate Speech	మ్యూజిక్ చాలా చాలా బాగుంది
C021963	Tanglish	Hate Speech	ennnangada bharath aane nenu pada stunt ellam potrukeenga
C021964	Tanglish	Offensive	Thalaivar ku 35k dislikes ah epdida manasu varuthu ungaluku sleeper cells ugala
C021965	Tanglish	Offensive	Yenda mask kuda krishn padatha pathu copy adicirukigaleda
C021967	Roman Telugu	Hate Speech	Veedi comedy kosam ..valla nannani kuda vadalaledu
C021968	Telugu	Hate Speech	వాడికి ఎంత కుల పిచ్చి అంటే jr ntr ni దేశమంతా ప్రచారానికి బీజేపీ ఉపయోగిస్తుంది ఆట.
C021971	Tanglish	Offensive	8K dislikes from animal pans
C021972	Roman Telugu	Hate Speech	jai cbn jaetii sr nter neenu my tdp supporter naa pranam ista
C021977	Roman Telugu	Hate Speech	puttinaroju subhaakaankshalu annaiah
C021980	Kannada	Offensive	ಅಣ್ಣಾ ಬಾಂಡ್ ಚೆನ್ನಾಗಿ ಬೆಂಡ ಎತ್ತಿದ
C021981	Telugu	Hate Speech	అదృష్ట వంతులు ఎంజాయ్ బ్రదర్స్
C021984	Tanglish	Offensive	singam horse la vettai yaada varudhu...
C021995	Tanglish	Offensive	Ethir patha alavukku Illa. Ennum ethir pathen. But trailer LA kattama movie LA kattalam
C022000	Telugu	Hate Speech	కొడాలి నాని నీ పని కథం లారీలు కడుగు సార్
C022002	Kanglish	Offensive	Kumar jaathi naayi banthu helu
C022004	Roman Telugu	Hate Speech	ii post pettinodu rajyangam gurinchi cm matladina videos indulo pettu
C022005	Tanglish	Offensive	yapa Sammy enntha teaser pathamonu iruku !!!
C022008	Kanglish	Offensive	Loo baccha koura holle avaru
C022009	Roman Telugu	Hate Speech	mana sanaatana dharmamlo talli dandrulanu kuudaa devatallaagaa kolustaamu konni rojulaku devishree gaadu vaalla talli dandrulanu kuudaa alaane chupistademo aa chaduvukunna murkapu vedhava
C022014	Tanglish	Hate Speech	Olagathlaye kodumayana vishayam pidikkadha life..adha vida koduma miss panna lover crcta kalyanathukaparam kannu munnadi vandhu ninnu..yenda avasarapattu kalyanam pannomnu thonum..oh my kadavulae..
C022023	Tanglish	Offensive	Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura
C022024	Tanglish	Offensive	Watha asuran dialogue ah copy adicchitaanga doi
C022027	Kannada	Hate Speech	ಸೂಳೆಮಗನೇ yengo ediya ಎಲ್ಲಾ ಕಡೆ daagar ankondu promotion madtira gaandu sulemakla daagar kano avnu Darshan alla 🤦‍
C022038	Tanglish	Offensive	Oruthar mela viswasam katrathukaka ennoruthara athuku aasinga paduthuringa
C022045	Roman Telugu	Hate Speech	nda too tdp pottu ap bhavishyut kii manchidi
C022049	Tamil	Offensive	செல்வராகவன் film nallathan irukum. But climax la suriya va mental aakama iruntha sari..🤔
C022050	Tamil	Hate Speech	Dora தோத்து போச்சி போ... Very good animated movie
C022057	Tanglish	Hate Speech	first lookya ipdina.....movie ena panni vaikka porananooooo :(
C022059	Tanglish	Offensive	sila muttaalgal sonnanga.. petta VJSethupathi kaga paakaporom, Rajini kaaga illanu.. Kanna... Rajini padam na... Rajini mattum dhan
C022063	Tamil	Hate Speech	வாரே வா.. எம்புட்டு ஜாதிய சீண்டிருக்காய்ங்க பயபுள்ளைங்க.. உண்மைய சொன்னா பொச்சு எரியுதோ.. ப்ளடி குருமா பாய்ஸ்
C022068	Tanglish	Offensive	Sema comedya irundhuchi trailer sivakarthikeyan ironman spiderman ku aprm heroman siva dhan
