C000003 | Kanglish | [Offensive] Gangadhar Adi nuchnnamallaya
C000048 | Roman Telugu | [Hate Speech] Moham lo choodu enta kala uttipadutundo
C000062 | Tanglish | [Offensive] oh phone volume kamiya Dan irka ...
C000073 | Telugu | [Hate Speech] రాజసం అంటే అలా ఉండాలి
C000078 | Roman Telugu | [Hate Speech] kodalu pilla maa koduku nee pelli chesukuntava katnam aem voddu meme ishtamu kavalante
C000081 | Roman Telugu | [Hate Speech] Evaru erripapalu avutaru 2024 lo choodam lee
C000094 | Tanglish | [Offensive] unmaya sonna silaruku kovam varudhu. Unmaigal kasakathaan seiyum pazhamozhi summava vechan
C000096 | Roman Telugu | [Hate Speech] nouledge is divine aakali tho poeyina parledu butt aatmagouravam pokudadu vaav nice coats
C000111 | Kanglish | [Offensive] Nija 100% but aswastama antta heg kandiditare..
C000135 | Roman Telugu | [Hate Speech] Chala worst ga undi
C000136 | Tanglish | [Offensive] Yogi babu hair style nalla illa
C000143 | Kanglish | [Offensive] Nija heludre heege
C000144 | Kanglish | [Offensive] S sikkilla bro
C000148 | Roman Telugu | [Hate Speech] asla kl rahul peddha bogh na koduku adatham radhu em radhu
C000151 | Tanglish | [Offensive] Sudu kattukkulla poravan pogum pothey ponama thaan povan......
C000163 | Tamil | [Hate Speech] ரஜினியிடம் மன்னிப்பு கேட்கும் நிலை கண்டிப்பாக வரும்
C000167 | Roman Telugu | [Hate Speech] meeru devudu saar
C000180 | Tanglish | [Hate Speech] Durapathi nu sollathinga nary vithaanu vai nallarukum va athaum papom unga jathi thimera kattu Enga attatha ne pape potta pasanga
C000181 | Roman Telugu | [Hate Speech] okka chiruta puli kosam entha mandi chudandi
C000182 | Kannada | [Hate Speech] So called ದೊಡ್ಡ ದೊಡ್ಡ ಸ್ಟಾರ್ ನಟರು ಇಂತಹ ಚಿತ್ರಗಳ ಬಗ್ಗೆನೂ ಸ್ವಲ್ಪ ಗಮನ ಕೊಟ್ರೆ ಕನ್ನಡ ಚಿತ್ರೋದ್ಯಮ ಒಳ್ಳೆಯ ಎತ್ತರಕ್ಕೆ ಬೆಳೆಯುತ್ತೆ
C000191 | Roman Telugu | [Hate Speech] mea maatalu agnijwaalalu dhanyavaadamulu
C000199 | Tanglish | [Hate Speech] Medhi kaasu iruntha kudunga naa... Ithuve medhi kaasu dhaan da🤣🤣🤣🤣 lolzzz
C000204 | Tamil | [Offensive] குருமா வளவன் பின்னாடி இப்ப கபகபனு எரியுமே
C000210 | Tamil | [Hate Speech] தர்மபுரி kalavara boomi vanniyar kula sathriyan
C000216 | Tamil | [Hate Speech] ஏன்டா ஜெயலலிதான்னு சொல்லி சசிகலாவ காட்டுறீங்க.. ஒருவேல சின்னம்மா கட்சியா இரூப்பானோ
C000238 | Roman Telugu | [Hate Speech] baagaa kashtapaddav brow edit kii good keep it up
C000254 | Tanglish | [Hate Speech] 1:34 nan kooda advertisement nu ninachean
C000257 | Tanglish | [Offensive] Don't breath Remake nu sonavanuga ellam line la va .. !!
C000298 | Tanglish | [Hate Speech] Sarkar Vida milion Times semma
C000309 | Roman Telugu | [Hate Speech] Nuv pani cheira babu mundu eppudu vere malla meda padi edustav
C000326 | Tamil | [Hate Speech] திமுக தலைவர் கருணாநிதி அவர்ருக்கு மட்டும்இரவு 12மணிக்கு நீ மன்றம் இயங்கும் போது திரெளபதி படத்துக்குஏன் நீ மன்றம்தூங்குகிறது எந்த ஒரு பதிலும் சொல்லவில்லை பணம் இருந்தால் பதவி இருந்தால் மட்டுமே நீ மன்றம் இயங்குமா
