C000790 | Tanglish | [Offensive] Ena da idhu #Dunkirk bgm'a copy adicha mari iruku.. #hansZimmer paavam summa vidadu da...
C000815 | Telugu | [Hate Speech] మీ లాంటి లాయరు ఉండటం మా అదృష్టం సార్మీకు ధన్యవాదాలు
C000823 | Roman Telugu | [Hate Speech] hara mahadeva shambho shankara bholaa shankara namo namah om namah shivaya
C000824 | Tamil | [Offensive] வாழ்த்துகிறோம் எந்த பூண்ட பா ரஞ்சித் வந்தாலும் எந்தக் குருமா தேவிடிய பையன் வந்தாலும் படம் வந்தே தீரும்
C000826 | Tanglish | [Offensive] Padam bayankara kodurama irunthalum.. Udhaya nidhi patha sirupu tha varuthu..
C000839 | Tanglish | [Hate Speech] Ithu Oru Movie Yaa Pakkum Poothu Sirappu ithu Oru Nalla Movie Yaa irukkum ingaa Pollachiilaa Palaa Pengalaa Rape And Vedio Eduthaa Naaingalam Enna Caste Nu Theriumaa Anga Pala Pengalidam Kathal Nadakam Aadi rape Panni Vedio Edutha Naigalaa Entha Caste Karanu Theriumaa ???????????? Ithaa Kelvi Anaithu Saathikarandayum Naan Kekkuran??????
C000843 | Tanglish | [Hate Speech] Ithukku munnadi intha background music engeyo keturukke attha niyaabagamey varamaattenguthu ungaluku terinja sollunga
C000844 | Roman Telugu | [Hate Speech] dhee chaitanyam ante tiragabadam ante idhe ammapettadu adukkutinanivvadu ante idhe
C000846 | Tanglish | [Offensive] Indha theme girls use pannara makeup box la varadhudhana
C000847 | Tanglish | [Offensive] Padam flap nu solravange like pannunga
C000848 | Telugu | [Hate Speech] ఎంత తోక్కితే అంత లేస్తాడు మా అన్నా
