comment_id,language,category,comment,english_translation
C000001,Tanglish,Offensive,"Saavuradha irundhalum sanda potu saavanum, Bayandhu saaga Koodadhu Apt for Diwali Release scenario",
C000003,Kanglish,Offensive,Gangadhar Adi nuchnnamallaya,
C000008,Tanglish,Offensive,Enna pa vijay sethupathi ah kami ya katiteengha,
C000011,Roman Telugu,Hate Speech,Pilla puk comedy,
C000015,Tanglish,Hate Speech,Ulachu munneraama poannu vachu munnera thudikkum fraud naaigalukku seruppadi..love mayiru nu ..padichu munneranum..ulachu munneranum..,
C000017,Tanglish,Hate Speech,Hanged up in 495k views,
C000020,Tanglish,Offensive,Thalaivara bangama kalaichitinga da pavingale ithu 96 yara emathiringaa Ultimate 🤣🤣,
C000024,Tamil,Offensive,திருமா எப்ப சொன்னார் பணக்கார வீட்டுப் பெண்களை திருமணம் செய்தால் கெத்தா இருப்போம்னு கொளுத்தி விடு சாதி கலவரத்தை மோகன் உனக்கு வருமானம் இங்கு அப்பாவி மக்கள் அடித்து கோண்டு சாகுனும் நீ நல்லா இருப்ப.,
C000028,Tanglish,Offensive,Yov pande nee enaya panra inga,
C000040,Telugu,Hate Speech,ఘడ్డగా మరీ మనావర్ గానికి కూడా చెప్పు హిందూ దేవుళ్ళ పైన జోకులు చేయొద్దని మరి వాని షో కు పర్మిషన్ ఇవ్వకుంటే ఇవన్నీ కాకుండె కదా,
C000042,Roman Telugu,Hate Speech,master garu idhi interview lae ledhu interrogation lae undhi super,
C000044,Tanglish,Hate Speech,Dei ithu keka beka keka beka short film copy,
C000048,Roman Telugu,Hate Speech,Moham lo choodu enta kala uttipadutundo,
C000062,Tanglish,Offensive,oh phone volume kamiya Dan irka ...,
C000065,Roman Telugu,Hate Speech,aa white dress loo chustunte vijayawada peddapuli vangaveeti mohan rangaa nu chusinattundi anna,
C000069,Tamil,Hate Speech,சூத்துல மிளகாய் அரைச்சு பூசுன மாதிரி தெருமா கூப்புக்கு இருக்கும் போல🤣,
C000073,Telugu,Hate Speech,రాజసం అంటే అలా ఉండాలి,
C000074,Tamil,Hate Speech,"திருமாவளவன்,, ரஞ்சித்,,, வெற்றிமாறன்,,, தேவுடியா பசங்களுக்கு,,,, இந்த படம் செருப்புலே அடிச்ச மாதிரி இருக்கும்",
C000078,Roman Telugu,Hate Speech,kodalu pilla maa koduku nee pelli chesukuntava katnam aem voddu meme ishtamu kavalante,
C000081,Roman Telugu,Hate Speech,Evaru erripapalu avutaru 2024 lo choodam lee,
C000088,Tanglish,Offensive,Hollywood padathai paarthu kollywood pottukkitta soodu ithu,
C000091,Tanglish,Hate Speech,Dai ippolam short flimla irundu kathaye attaya poda arambichitingala,
C000093,Roman Telugu,Hate Speech,"Telangana lo bjp vastene...ee trs aarachakaalu tagguthai, police la ni venta pettukoni motham Telangana ni nashanam chestunnaru",
C000094,Tanglish,Offensive,unmaya sonna silaruku kovam varudhu. Unmaigal kasakathaan seiyum pazhamozhi summava vechan,
C000096,Roman Telugu,Hate Speech,nouledge is divine aakali tho poeyina parledu butt aatmagouravam pokudadu vaav nice coats,
